stokes64s,12560,12560,140034
mouse_gene,45104,45104,28967291
lowThrust_9,18048,18048,219589
Andrews,60000,60000,760154
mark3jac080sc,36624,36624,227955
mycielskian17,98304,98304,100245742
c-49,21136,21136,157042
c-61,43632,43632,310016
Dubcova1,16144,16144,253009
pkustk09,33968,33968,1583640
TSOPF_RS_b2383_c1,38128,38128,16171169
gyro,17376,17376,1021159
k1_san,67760,67760,559774
coupled,11344,11344,98523
mult_dcop_02,25200,25200,193276
cyl6,13696,13696,714241
airfoil_2d,14224,14224,259688
bfly,49152,49152,196608
soc-sign-Slashdot090221,82144,82144,549202
pkustk11,87808,87808,5217912
bcsstk17,10976,10976,428650
TSOPF_FS_b300,29216,29216,4400122
shyy161,76480,76480,329762
Maragal_8,33216,75088,1308415
conf5_4-8x8-05,49152,49152,1916928
OPF_6000,29904,29904,302418
copter2,55488,55488,759952
CurlCurl_0,11088,11088,113343
inlet,11744,11744,328323
big_dual,30272,30272,89858
pds-30,49952,158496,340635
fe_body,45088,45088,327468
nv2010,84544,84544,416998
soc-Slashdot0811,77360,77360,905468
vibrobox,12336,12336,342828
shuttle_eddy,10432,10432,103599
jan99jac080sc,27536,27536,171522
cfd1,70656,70656,1828364
TSOPF_RS_b39_c7,14112,14112,252446
flower_7_4,27696,67600,202218
lowThrust_8,17712,17712,216445
stormg2-125,66192,172432,433256
de2010,24128,24128,116056
rajat16,94304,94304,641159
appu,14000,14000,1853104
pcrystk03,24704,24704,1751178
bauru5727,40368,40368,145019
JP,87616,67328,13734559
soc-sign-Slashdot081106,77360,77360,516575
g7jac050sc,14768,14768,157990
poli4,33840,33840,73249
kneser_8_3_1,15744,15696,47042
F2,71520,71520,5294285
cond-mat-2003,31168,31168,240058
12month1,12480,872624,22624727
g7jac160,47440,47440,656616
bodyy5,18592,18592,129281
mycielskian14,12288,12288,3695512
rajat20,86928,86928,605045
cat_ears_4_4,19024,44448,132888
cont-201,80608,80608,438795
lpl3,10832,33696,100525
pkustk06,43168,43168,2571768
ncvxqp9,16560,16560,54040
dbir1,18816,45776,1077025
G67,10000,10000,40000
human_gene2,14352,14352,18068388
sme3Da,12512,12512,874887
bips98_1450,11312,11312,44678
rail_79841,79856,79856,553921
p2p-Gnutella31,62592,62592,147892
c-57,37840,37840,405197
cit-HepPh,34560,34560,421578
g7jac080sc,23680,23680,293976
c-46,14928,14928,130397
qa8fm,66128,66128,1660579
Wordnet3,82672,82672,132964
human_gene1,22288,22288,24669643
mixtank_new,29968,29968,1995041
cit-HepTh,27776,27776,352807
t3dl_a,20368,20368,509866
stat96v2,29104,957440,2852184
opt1,15456,15456,1930655
bcsstk39,46784,46784,2089294
conf5_4-8x8-15,49152,49152,1916928
g7jac120sc,35552,35552,475296
g7jac140,41504,41504,565956
mip1,66464,66464,10352819
delaunay_n16,65536,65536,393150
Si10H16,17088,17088,875923
tube2,21504,21504,897056
mk12-b3,51984,13872,207900
epb2,25232,25232,175027
n4c6-b11,69248,132416,830820
Zhao2,33872,33872,166453
H2O,67024,67024,2216736
lowThrust_7,17392,17392,211561
aug3dcqp,35552,35552,128115
